,Product Name,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Last Visited
0,Women's adidas Originals NMD_Racer Primeknit Shoes,14999.0,7499,50,Adidas Adidas ORIGINALS,"Channeling the streamlined look of an '80s racer, these shoes are updated with modern features. The foot-hugging adidas Primeknit upper offers a soft, breathable feel. The Boost midsole provides responsive comfort accented with a contrast-color EVA heel plug. Embroidered details add a distinctive finish.",4.8,41,2020-04-13 15:06:14
1,Women's adidas Originals Sleek Shoes,7599.0,3799,50,Adidas ORIGINALS,"A modern take on adidas sport heritage, tailored just for women. Perforated 3-Stripes on the leather upper of these shoes offer a sleek look that mirrors iconic tennis styles.",3.3,24,2020-04-13 15:06:15
2,Women's adidas Swim Puka Slippers,999.0,599,40,Adidas CORE / NEO,These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.,2.6,37,2020-04-13 15:06:15
3,Women's adidas Sport Inspired Questar Ride Shoes,6999.0,3499,50,Adidas CORE / NEO,"Inspired by modern tech runners, these women's shoes step out with unexpected style. They're built with a breathable knit upper, while the heel offers the extra support of an Achilles-hugging design. The cushioned midsole provides a soft landing with every stride.",4.1,35,2020-04-13 15:06:15
4,Women's adidas Originals Taekwondo Shoes,7999.0,3999,50,Adidas ORIGINALS,"This design is inspired by vintage Taekwondo styles originally worn to perfect high kicks and rapid foot strikes. The canvas shoes make a streetwear fashion statement as a chic, foot-hugging slip-on. They're shaped for a narrow, women's-specific fit and ride on a soft gum rubber outsole.",3.5,72,2020-04-13 15:06:15
5,Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,4799.0,1920,60,Adidas CORE / NEO,"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",1.0,45,2020-04-13 15:06:15
6,Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,4799.0,2399,50,Adidas CORE / NEO,"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",4.4,2,2020-04-13 15:06:15
7,Women's adidas Swim Puka Slippers,999.0,599,40,Adidas CORE / NEO,These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.,2.8,7,2020-04-13 15:06:15
8,WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES,5599.0,2799,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",4.5,16,2020-04-13 15:06:15
9,Men's adidas Originals Forest Grove Shoes,6599.0,3959,40,Adidas ORIGINALS,"The Forest Grove brings back the look of the adidas Oregon running design from the '80s. A favourite for marathon training, it had a distinctive look and feel with shock-absorbing cushioning and a web-wrapped midsole. These streetwear shoes echo the original look with a textured nubuck and mesh upper. A web overlay on the midsole adds authentic Oregon style.",4.0,39,2020-04-13 15:06:15
10,Women's adidas Originals Swift Run Shoes,7599.0,4559,40,Adidas ORIGINALS,"The Swift distills decades of adidas heritage running designs. Made for casual everyday wear, these lightweight knit shoes come with a sleek shape and a supportive yet flexible feel. They stand out with embroidered accents and smooth welded details. An EVA midsole adds all-day wearability.",2.7,36,2020-04-13 15:06:16
