,Invoice Date,Product,Region,Retailer,Sales Method,State,Price per Unit,Total Sales,Units Sold
0,2020-01-01,Men's Street Footwear,Northeast,Foot Locker,In-store,New York,50,3594.5,71.0
1,2020-01-02,Men's Athletic Footwear,Northeast,Foot Locker,In-store,New York,50,3594.5,71.0
2,2020-01-03,Women's Street Footwear,Northeast,Foot Locker,In-store,New York,40,3594.5,71.0
3,2020-01-04,Women's Athletic Footwear,Northeast,Foot Locker,In-store,New York,45,3594.5,71.0
4,2020-01-05,Men's Apparel,Northeast,Foot Locker,In-store,New York,60,3594.5,71.0
5,2020-01-06,Women's Apparel,Northeast,Foot Locker,In-store,New York,50,3594.5,71.0
6,2020-01-07,Men's Street Footwear,Northeast,Foot Locker,In-store,New York,50,3594.5,71.0
7,2020-01-08,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
8,2020-01-21,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3594.5,71.0
9,2020-01-22,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3594.5,71.0
10,2020-01-23,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,3594.5,71.0
11,2020-01-24,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
12,2020-01-25,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
13,2020-01-26,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
14,2020-01-27,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3594.5,71.0
15,2020-01-28,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3594.5,71.0
16,2020-01-29,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,3594.5,71.0
17,2020-01-30,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
18,2020-01-31,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
19,2020-02-01,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
20,2020-02-02,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3594.5,71.0
21,2020-02-03,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3594.5,71.0
22,2020-02-04,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,3594.5,71.0
23,2020-02-05,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
24,2020-02-06,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,3594.5,71.0
25,2020-02-07,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,3594.5,71.0
26,2020-02-08,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
27,2020-02-09,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
28,2020-02-10,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,3594.5,71.0
29,2020-03-03,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,3594.5,71.0
30,2020-03-04,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,3594.5,71.0
31,2020-03-05,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,3594.5,71.0
32,2020-03-06,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
33,2020-03-07,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
34,2020-03-08,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,3594.5,71.0
35,2020-03-09,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,3594.5,71.0
36,2020-03-10,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,3594.5,71.0
37,2020-03-11,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,3594.5,71.0
38,2020-03-12,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
39,2020-03-13,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
